City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Varhaug,NO,2021-01-28 16:07:49,58.6147,5.6457,24.8,80,0,4.61
201,Sept-Iles,CA,2021-01-28 16:07:50,50.2001,-66.3821,19.99,62,22,3.44
202,Medowie,AU,2021-01-28 16:07:50,-32.7333,151.8667,69.01,94,75,12.66
203,Mandalgovi,MN,2021-01-28 16:07:50,45.7625,106.2708,8.37,89,0,11.65
204,Bontang,ID,2021-01-28 16:07:50,0.1333,117.5,76.8,91,100,7.18
205,Maningrida,AU,2021-01-28 16:07:50,-12.0667,134.2667,76.68,89,100,4.32
206,Kavaratti,IN,2021-01-28 16:07:51,10.5669,72.642,80.55,74,90,10.89
207,Ambilobe,MG,2021-01-28 16:07:51,-13.2,49.05,78.35,82,100,1.32
208,Svetlogorsk,BY,2021-01-28 16:07:51,52.6333,29.7333,29.59,99,100,7.14
209,Novopokrovka,UA,2021-01-28 16:07:51,49.8425,36.5477,41.0,87,90,11.18
210,Mahebourg,MU,2021-01-28 16:07:51,-20.4081,57.7,80.6,74,40,5.75
211,Grand-Santi,GF,2021-01-28 16:07:51,4.25,-54.3833,83.8,62,96,3.38
212,Caravelas,BR,2021-01-28 16:07:51,-17.7125,-39.2481,86.23,53,52,9.64
213,Nara,JP,2021-01-28 16:04:11,34.6851,135.8049,42.01,79,61,17.0
214,Marsa Matruh,EG,2021-01-28 16:07:52,31.3525,27.2453,60.8,41,40,26.46
215,Tabory,RU,2021-01-28 16:07:52,58.5198,64.5495,29.21,98,100,12.84
216,Red Wing,US,2021-01-28 16:07:52,44.5625,-92.5338,15.01,62,1,5.75
217,Baruun-Urt,MN,2021-01-28 16:07:52,46.6806,113.2792,-9.35,86,86,8.97
218,Hobyo,SO,2021-01-28 16:07:52,5.3505,48.5268,77.22,71,19,20.45
219,Tautira,PF,2021-01-28 16:07:52,-17.7333,-149.15,75.2,83,40,1.14
220,Milkovo,RU,2021-01-28 16:07:53,54.7167,158.6167,-3.24,91,99,2.39
221,Minab,IR,2021-01-28 16:07:53,27.1467,57.0801,62.6,55,0,4.61
222,Knysna,ZA,2021-01-28 16:07:53,-34.0363,23.0471,69.8,52,0,9.22
223,Lambarene,GA,2021-01-28 16:07:53,-0.7001,10.2406,91.4,58,40,5.03
224,Altay,CN,2021-01-28 16:07:53,47.8667,88.1167,2.44,78,0,1.68
225,Sassandra,CI,2021-01-28 16:07:53,4.95,-6.0833,83.39,72,71,7.0
226,Los Llanos De Aridane,ES,2021-01-28 16:04:47,28.6585,-17.9182,71.6,73,0,4.61
227,Nijar,ES,2021-01-28 16:07:53,36.9665,-2.206,63.0,88,20,1.14
228,Abu Dhabi,AE,2021-01-28 16:02:56,24.4667,54.3667,71.6,68,0,4.61
229,Nhlangano,SZ,2021-01-28 16:07:54,-27.1167,31.2,63.43,91,100,3.15
230,Fort Nelson,CA,2021-01-28 16:07:54,58.8053,-122.7002,-23.8,76,20,5.75
231,Pahrump,US,2021-01-28 16:07:54,36.2083,-115.9839,43.0,59,100,4.0
232,Mega,ET,2021-01-28 16:07:54,4.05,38.3,72.32,33,85,10.51
233,Souillac,MU,2021-01-28 16:07:54,-20.5167,57.5167,80.6,74,40,5.75
234,Port-Cartier,CA,2021-01-28 16:07:54,50.0334,-66.8654,19.99,62,0,3.44
235,Zhangjiakou,CN,2021-01-28 16:07:54,40.81,114.8794,14.83,65,0,4.12
236,Neryungri,RU,2021-01-28 16:05:25,56.6709,124.6491,-43.38,76,94,1.95
