City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
88,Broken Hill,AU,-31.95,141.4333,73.4,49,75,17.27,broken clouds,2021-01-29 16:58:14
89,Tasiilaq,GL,65.6145,-37.6368,17.6,93,75,23.02,broken clouds,2021-01-29 17:00:33
90,Isangel,VU,-19.55,169.2667,76.69,79,39,14.2,scattered clouds,2021-01-29 17:00:33
91,Namatanai,PG,-3.6667,152.4333,81.19,82,29,9.86,scattered clouds,2021-01-29 17:00:33
92,De-Kastri,RU,51.4667,140.7833,-2.45,90,100,6.93,light snow,2021-01-29 17:00:33
93,Skjervoy,NO,70.0311,20.9714,14.0,62,20,14.97,few clouds,2021-01-29 17:00:34
94,Batticaloa,LK,7.7102,81.6924,75.78,93,100,9.44,overcast clouds,2021-01-29 17:00:34
95,Lazaro Cardenas,MX,17.9583,-102.2,83.61,51,100,2.95,overcast clouds,2021-01-29 17:00:34
96,Fara In Sabina,IT,42.2089,12.7292,55.4,82,40,9.22,scattered clouds,2021-01-29 17:00:34
97,Georgetown,MY,5.4112,100.3354,78.8,78,20,2.3,few clouds,2021-01-29 16:56:45
98,Prince George,CA,53.9166,-122.753,8.6,78,90,3.44,overcast clouds,2021-01-29 17:00:35
99,Uruguaiana,BR,-29.7547,-57.0883,91.4,58,75,10.36,broken clouds,2021-01-29 17:00:35
100,Totness,SR,5.8833,-56.3167,81.66,71,81,9.71,broken clouds,2021-01-29 17:00:35
101,Fort Morgan,US,40.2503,-103.8,28.4,80,1,5.75,clear sky,2021-01-29 16:58:13
102,Berlevag,NO,70.8578,29.0864,19.4,73,20,8.05,light snow,2021-01-29 16:56:27
103,Treinta Y Tres,UY,-33.2333,-54.3833,83.62,49,66,5.7,broken clouds,2021-01-29 17:00:36
104,Hermanus,ZA,-34.4187,19.2345,73.0,67,3,5.99,clear sky,2021-01-29 16:56:10
105,Mitsamiouli,KM,-11.3847,43.2844,82.67,71,44,6.87,light rain,2021-01-29 17:00:36
106,Zhangye,CN,38.9342,100.4517,20.48,75,23,3.02,few clouds,2021-01-29 17:00:36
107,Bluff,NZ,-46.6,168.3333,48.0,80,41,8.01,scattered clouds,2021-01-29 17:00:36
