City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Simpang,ID,75.63,light rain,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
410,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
414,Riberalta,BO,76.93,overcast clouds,-10.9833,-66.1,Hotel Colonial
416,Salvador,SV,87.8,clear sky,13.8333,-88.9167,Chico's Ranch
423,Aden,YE,75.31,clear sky,12.7794,45.0367,Sama Emirate Hotel
425,Costa Rica,BR,77.36,overcast clouds,-23.4167,-54.65,
428,Olinda,BR,82.4,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
431,Guanica,PR,82.99,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
433,Imbituba,BR,84.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
434,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
439,San Cristobal,VE,84.2,few clouds,7.7669,-72.225,Pirineos
440,Popondetta,PG,76.14,light rain,-8.7537,148.2534,Timos Transit House
445,Buala,SB,79.25,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
446,Bengkulu,ID,75.65,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
451,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
458,Tombouctou,ML,84.74,clear sky,20.0,-3.0,
459,Soyo,AO,81.68,light rain,-6.1349,12.3689,Hotel Mpampa
461,Oranjestad,AW,82.4,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
463,Natal,BR,87.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
470,Manakara,MG,79.84,few clouds,-22.1333,48.0167,La Residence Manakara
475,Uchiza,PE,80.64,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
478,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
484,Oistins,BB,84.2,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
486,Sinnamary,GF,79.45,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Bambanglipuro,ID,76.01,moderate rain,-7.95,110.2833,Puri Brata
